_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Topeka,Kansas,39.049011,-95.677556,Washburn University School of Law,Public,Full ABA,Shawnee County,
Kansas City,Missouri,39.084469,-94.56303,University of Missouri - Kansas City School of Law,Public,Full ABA,Jackson County,
Cincinnati,Ohio,39.101454,-84.51246,University of Cincinnati College of Law,Public,Full ABA,Hamilton County,
Bloomington,Indiana,39.16704,-86.534288,"Maurer School of Law, Indiana University Bloomington",Public,Full ABA,Monroe County,
Baltimore,Maryland,39.289773,-76.622697,University of Maryland School of Law,Public,Full ABA,Baltimore city,"500 W Baltimore St, Baltimore, MD 21201"
Baltimore,Maryland,39.305835,-76.615886,University of Baltimore School of Law,Public,Full ABA,Baltimore city,"1401 N Charles St, Baltimore, MD 21201"
Morgantown,West Virginia,39.629526,-79.955897,West Virginia University College of Law,Public,Full ABA,Monongalia County,
Denver,Colorado,39.739154,-104.984703,"Sturm College of Law, University of Denver",Private,Full ABA,Denver County,
Wilmington,Delaware,39.745947,-75.546589,Widener University School of Law,Private,Full ABA,New Castle County,
Dayton,Ohio,39.758948,-84.191607,University of Dayton School of Law,Private,Full ABA,Montgomery County,
Indianapolis,Indiana,39.768333,-86.15835,Indiana University Robert H. McKinney School of Law,Public,Full ABA,Marion County,
Miami,Florida,25.7567687,-80.3801018,Florida International University College of Law,Public,Full ABA,Miami-Dade County,"11200 S.W. 8th Street, RDB 2015, University Park, FL 33199"
Nashville,Tennessee,36.1481438,-86.8022651,Vanderbilt University Law School,Private,Full ABA,Davidson County,"131 21st Ave S, Nashville, TN 37203"
New York City,New York,40.7479289,-73.9461615,City University of New York School of Law,Public,Full ABA,Queens County,"2 Court Square, Long Island City, NY 11101"
Baton Rouge,Louisiana,30.5233151,-91.1984904,Southern University Law Center,Public,Full ABA,East Baton Rouge Parish,"2 Roosevelt Steptoe Dr, Baton Rouge, LA 70813"
Orlando,Florida,28.5448058,-81.385435,Florida A&M University College of Law,Public,Full ABA,Orange County,"201 Beggs Ave, Orlando, FL 32801"
