geo_id,tot_pop
0500000US21135,13849
0500000US21137,24741
0500000US21139,9534
0500000US21141,26835
0500000US21143,8304
0500000US21145,65539
0500000US21147,18314
0500000US21149,9519
0500000US21151,83157
0500000US21153,13327
0500000US21155,19831
0500000US21157,31452
0500000US21159,12894
0500000US21161,17497
0500000US21163,28664
0500000US21165,6307
0500000US21167,21363
0500000US21169,10109
0500000US21171,10978
0500000US21173,26516
0500000US21175,13928
0500000US21177,31493
0500000US21179,43609
0500000US21181,7131
0500000US21183,23818
0500000US21185,60450
0500000US21187,10833
0500000US21189,4764
0500000US21191,14910
0500000US21193,28725
0500000US21195,64952
0500000US21197,12625
0500000US21199,63135
0500000US21201,2279
0500000US21203,17032
0500000US21205,23318
0500000US21207,17535
0500000US21209,47443
0500000US21211,42255
0500000US21213,17357
0500000US21215,17108
0500000US21217,24561
0500000US21219,12447
0500000US21221,14351
0500000US21223,8798
0500000US21225,15005
0500000US21227,114172
0500000US21229,11770
0500000US21231,20816
0500000US21233,13601
0500000US21235,35586
0500000US21237,7349
0500000US21239,25025
0500000US22001,61844
0500000US22003,25732
0500000US22005,107891
0500000US22007,23374
0500000US22009,42103
0500000US22011,35831
0500000US22013,14330
0500000US22015,117522
0500000US22017,255543
0500000US22019,193230
0500000US22021,10119
0500000US22023,6799
0500000US22025,10381
0500000US22027,17141
0500000US22029,20806
0500000US22031,26734
0500000US22033,440909
0500000US22035,7731
0500000US22037,20190
0500000US22039,33990
0500000US22041,20773
0500000US22043,22341
0500000US22045,73236
0500000US22047,33364
0500000US22049,16297
0500000US22051,432449
0500000US22053,31605
0500000US22055,222051
0500000US22057,96328
0500000US22059,14928
0500000US22061,46801
0500000US22063,128549
0500000US22065,12102
0500000US22067,27925
0500000US22069,39605
0500000US22071,347858
0500000US22073,153910
0500000US22075,23106
0500000US22077,22771
0500000US22079,131779
0500000US22081,9079
0500000US22083,20736
0500000US22085,24229
0500000US22087,36762
0500000US22089,52771
0500000US22091,11205
0500000US22093,22026
0500000US22095,45813
0500000US22097,83454
0500000US22099,52214
0500000US22101,54579
0500000US22103,234568
0500000US22105,121425
0500000US22107,5231
0500000US22109,111861
0500000US22111,22754
0500000US22113,58070
0500000US22115,52769
0500000US22117,47093
0500000US22119,41215
0500000US22121,23917
0500000US22123,11582
0500000US22125,15610
0500000US22127,15287
0500000US23001,107623
0500000US23003,71720
0500000US23005,281457
0500000US23007,30732
0500000US23009,54364
0500000US23011,122143
0500000US23013,39694
0500000US23015,34399
0500000US23017,57752
0500000US23019,153849
0500000US23021,17549
0500000US23023,35226
0500000US23025,52231
0500000US23027,38801
0500000US23029,32811
0500000US23031,197216
0500000US24001,75021
0500000US24003,539198
0500000US24005,805709
0500000US24009,88936
0500000US24011,33093
0500000US24013,167241
0500000US24015,101199
0500000US24017,147086
0500000US24019,32650
0500000US24021,234122
0500000US24023,30063
0500000US24025,245177
0500000US24027,288376
0500000US24029,20222
0500000US24031,976203
0500000US24033,865271
0500000US24035,47899
0500000US24037,105786
0500000US24039,26481
0500000US24041,37834
0500000US24043,147558
0500000US24045,98843
0500000US24047,51431
0500000US24510,620583
0500000US25001,215937
0500000US25003,131144
0500000US25005,548612
0500000US25007,16581
0500000US25009,744644
0500000US25011,71369
0500000US25013,463678
0500000US25015,158094
0500000US25017,1506008
0500000US25019,10155
0500000US25021,672376
0500000US25023,495780
0500000US25025,723323
0500000US25027,799553
0500000US26001,10884
0500000US26003,9575
0500000US26005,111503
0500000US26007,29529
0500000US26009,23505
0500000US26011,15867
0500000US26013,8844
0500000US26015,59044
0500000US26017,107703
0500000US26019,17496
0500000US26021,156805
0500000US26023,45137
0500000US26025,136072
0500000US26027,52196
0500000US26029,25901
0500000US26031,26083
0500000US26033,38602
0500000US26035,30927
0500000US26037,75426
0500000US26039,14037
0500000US26041,37065
0500000US26043,26111
0500000US26045,107838
0500000US26047,32691
0500000US26049,424926
0500000US26051,25675
0500000US26053,16400
0500000US26055,87043
0500000US26057,42461
0500000US26059,46643
0500000US26061,36686
0500000US26063,33039
0500000US26065,280812
0500000US26067,63884
0500000US26069,25777
0500000US26071,11813
0500000US26073,70334
0500000US26075,160201
0500000US26077,250738
0500000US26079,17117
0500000US26081,603219
0500000US26083,2169
0500000US26085,11504
0500000US26087,88210
0500000US26089,21705
0500000US26091,99763
0500000US26093,180972
0500000US26095,6604
0500000US26097,11077
0500000US26099,841126
0500000US26101,24698
0500000US26103,67131
0500000US26105,28721
0500000US26107,42831
0500000US26109,23994
0500000US26111,83592
0500000US26113,14830
0500000US26115,151932
0500000US26117,63270
0500000US26119,9761
0500000US26121,172068
0500000US26123,48393
0500000US26125,1203012
0500000US26127,26513
0500000US26129,21623
0500000US26131,6756
0500000US26133,23506
0500000US26135,8609
0500000US26137,24132
0500000US26139,264055
0500000US26141,13329
0500000US26143,24429
0500000US26145,199911
0500000US26147,162789
0500000US26149,61262
0500000US26151,43007
0500000US26153,8474
0500000US26155,70606
0500000US26157,55661
0500000US26159,76186
0500000US26161,345290
0500000US26163,1815734
0500000US26165,32730
0500000US27001,16195
0500000US27003,331302
0500000US27005,32520
0500000US27007,44518
0500000US27009,38499
0500000US27011,5264
0500000US27013,64098
0500000US27015,25884
0500000US27017,35399
0500000US27019,91361
0500000US27021,28587
0500000US27023,12463
0500000US27025,53925
0500000US27027,59162
0500000US27029,8699
0500000US27031,5172
0500000US27033,11689
0500000US27035,62559
0500000US27037,399100
0500000US27039,20135
0500000US27041,35988
0500000US27043,14516
0500000US27045,20844
0500000US27047,31219
0500000US27049,46230
0500000US27051,6010
0500000US27053,1154623
0500000US27055,19022
0500000US27057,20386
0500000US27059,37857
0500000US27061,45043
0500000US27063,10270
0500000US27065,16209
0500000US27067,42270
0500000US27069,4541
0500000US27071,13314
0500000US27073,7238
0500000US27075,10858
0500000US27077,4040
0500000US27079,27699
0500000US27081,5892
0500000US27083,25865
0500000US27085,36654
0500000US27087,5421
0500000US27089,9419
0500000US27091,20840
0500000US27093,23295
0500000US27095,26088
0500000US27097,33204
0500000US27099,39188
0500000US27101,8698
0500000US27103,32780
0500000US27105,21376
0500000US27107,6855
0500000US27109,144509
0500000US27111,57262
0500000US27113,13946
0500000US27115,29727
0500000US27117,9578
0500000US27119,31640
0500000US27121,10978
0500000US27123,509320
0500000US27125,4075
0500000US27127,16058
0500000US27129,15693
0500000US27131,64228
0500000US27133,9692
0500000US27135,15561
0500000US27137,200155
0500000US27139,130487
0500000US27141,88691
0500000US27143,15245
0500000US27145,150785
0500000US27147,36545
0500000US27149,9719
0500000US27151,9760
0500000US27153,24885
0500000US27155,3542
0500000US27157,21658
