geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est
0500000US27145,27,145,Stearns County,4316,15,MN,152092
0500000US42055,42,55,Franklin County,3013,1,PA,152085
0500000US48329,48,329,Midland County,4969,4,TX,151468
0500000US09013,9,13,Tolland County,2393,4,CT,151377
0500000US12085,12,85,Martin County,5139,10,FL,151263
0500000US06031,6,31,Kings County,1571,3,CA,150960
0500000US01081,1,81,Lee County,2496,8,AL,150933
0500000US26115,26,115,Monroe County,2294,1,MI,150376
0500000US24043,24,43,Washington County,3416,4,MD,149588
0500000US48135,48,135,Ector County,3576,1,TX,149378
0500000US27109,27,109,Olmsted County,3487,10,MN,149226
0500000US51510,51,510,Alexandria city,4631,63,VA,148892
0500000US39045,39,45,Fairfield County,2568,5,OH,148867
0500000US49053,49,53,Washington County,4192,7,UT,147800
0500000US13153,13,153,Houston County,2314,1,GA,147658
0500000US08077,8,77,Mesa County,4428,6,CO,147554
0500000US35049,35,49,Santa Fe County,4711,24,NM,147423
0500000US17161,17,161,Rock Island County,3253,11,IL,147258
0500000US13223,13,223,Paulding County,1715,0,GA,146950
0500000US42107,42,107,Schuylkill County,2798,6,PA,146920
0500000US33013,33,13,Merrimack County,4021,14,NH,146849
0500000US28121,28,121,Rankin County,3445,14,MS,146767
0500000US34037,34,37,Sussex County,3262,2,NJ,145992
0500000US18081,18,81,Johnson County,3043,3,IN,145535
0500000US45035,45,35,Dorchester County,2110,2,SC,145397
0500000US16055,16,55,Kootenai County,4340,6,ID,144265
0500000US48187,48,187,Guadalupe County,1875,2,TX,143183
0500000US37151,37,151,Randolph County,2534,2,NC,142577
0500000US12061,12,61,Indian River County,3972,16,FL,141994
0500000US18105,18,105,Monroe County,2895,11,IN,141888
0500000US42021,42,21,Cambria County,3333,0,PA,140499
0500000US28059,28,59,Jackson County,2237,2,MS,140450
0500000US37135,37,135,Orange County,3089,58,NC,140352
0500000US06055,6,55,Napa County,4036,23,CA,140326
0500000US12017,12,17,Citrus County,2660,3,FL,139271
0500000US19103,19,103,Johnson County,3175,27,IA,139155
0500000US45041,45,41,Florence County,3039,4,SC,138326
0500000US37159,37,159,Rowan County,2548,0,NC,138323
0500000US27139,27,139,Scott County,3209,3,MN,137232
0500000US51179,51,179,Stafford County,2141,0,VA,136788
0500000US51650,51,650,Hampton city,2370,4,VA,136699
0500000US35043,35,43,Sandoval County,1648,6,NM,136575
0500000US04005,4,5,Coconino County,3514,2,AZ,136539
0500000US13097,13,97,Douglas County,2388,3,GA,136379
0500000US17179,17,179,Tazewell County,2790,7,IL,136352
0500000US39023,39,23,Clark County,2357,5,OH,136167
0500000US42075,42,75,Lebanon County,2624,2,PA,135486
0500000US13073,13,73,Columbia County,2088,0,GA,135416
0500000US55073,55,73,Marathon County,3271,2,WI,135416
0500000US26025,26,25,Calhoun County,2616,0,MI,135012
0500000US42051,42,51,Fayette County,2674,0,PA,134999
0500000US37155,37,155,Robeson County,1795,2,NC,134841
0500000US06023,6,23,Humboldt County,3168,8,CA,134493
0500000US48441,48,441,Taylor County,3372,2,TX,134117
0500000US22063,22,63,Livingston Parish,1652,3,LA,134053
0500000US13077,13,77,Coweta County,2106,1,GA,133180
0500000US36013,36,13,Chautauqua County,2900,6,NY,133080
0500000US55131,55,131,Washington County,3167,7,WI,132739
0500000US22079,22,79,Rapides Parish,3141,1,LA,132723
0500000US19013,19,13,Black Hawk County,3190,4,IA,132546
0500000US48485,48,485,Wichita County,3146,0,TX,132047
0500000US18095,18,95,Madison County,2225,4,IN,130482
0500000US25003,25,3,Berkshire County,3922,23,MA,129585
0500000US04003,4,3,Cochise County,2241,0,AZ,129473
0500000US39173,39,173,Wood County,2715,7,OH,129264
0500000US27171,27,171,Wright County,3143,1,MN,128470
0500000US51177,51,177,Spotsylvania County,2328,0,VA,127348
