geo_id,company_count,tot_pop,companies_per_capita
0500000US49003,2,50155,3.98764E-05
0500000US01031,2,50104,3.9917E-05
0500000US51085,4,99948,4.00208E-05
0500000US44001,2,49853,4.01179E-05
0500000US39063,3,74727,4.01461E-05
0500000US48331,1,24714,4.04629E-05
0500000US42107,6,148228,4.04782E-05
0500000US21073,2,49288,4.05778E-05
0500000US54005,1,24585,4.06752E-05
0500000US21217,1,24561,4.0715E-05
0500000US55137,1,24467,4.08714E-05
0500000US08077,6,146313,4.1008E-05
0500000US51710,10,243135,4.11294E-05
0500000US48375,5,121446,4.11706E-05
0500000US18141,11,266961,4.12045E-05
0500000US21059,4,96762,4.13385E-05
0500000US12005,7,169272,4.13536E-05
0500000US12105,25,602788,4.1474E-05
0500000US45079,16,385745,4.14782E-05
0500000US23003,3,71720,4.18293E-05
0500000US21183,1,23818,4.19851E-05
0500000US28071,2,47496,4.21088E-05
0500000US39105,1,23745,4.21141E-05
0500000US06101,4,94806,4.21914E-05
0500000US37033,1,23695,4.2203E-05
0500000US29097,5,117770,4.24556E-05
0500000US18053,3,69975,4.28725E-05
0500000US12111,12,278689,4.30588E-05
0500000US16055,6,138901,4.31962E-05
0500000US31019,2,46165,4.33229E-05
0500000US42061,2,45914,4.35597E-05
0500000US12033,13,298043,4.36179E-05
0500000US36111,8,182435,4.38512E-05
0500000US37023,4,90771,4.40669E-05
0500000US05057,1,22620,4.42087E-05
0500000US42071,23,520156,4.42175E-05
0500000US51185,2,45078,4.43675E-05
0500000US36013,6,134768,4.4521E-05
0500000US48179,1,22456,4.45315E-05
0500000US36089,5,111894,4.46851E-05
0500000US47123,2,44608,4.4835E-05
0500000US50025,2,44510,4.49337E-05
0500000US27137,9,200155,4.49652E-05
0500000US18145,2,44391,4.50542E-05
0500000US15009,7,155124,4.51252E-05
0500000US37125,4,88569,4.51625E-05
0500000US35043,6,132330,4.53412E-05
0500000US51061,3,65383,4.58835E-05
0500000US42083,2,43356,4.61297E-05
0500000US01087,1,21540,4.64253E-05
0500000US48139,7,150462,4.65234E-05
0500000US42069,10,214367,4.6649E-05
0500000US40027,12,256895,4.67117E-05
0500000US37089,5,106978,4.67386E-05
0500000US53011,20,427044,4.68336E-05
0500000US16013,1,21326,4.68911E-05
0500000US24037,5,105786,4.72652E-05
0500000US37147,8,168817,4.73886E-05
0500000US06071,97,2042441,4.74922E-05
0500000US47099,2,41991,4.76293E-05
0500000US55055,4,83693,4.77937E-05
0500000US39085,11,230101,4.78051E-05
0500000US34031,24,501860,4.78221E-05
0500000US19065,1,20839,4.79869E-05
0500000US37115,1,20777,4.81301E-05
0500000US41039,17,351983,4.82978E-05
0500000US53047,2,41257,4.84766E-05
0500000US55093,2,41125,4.86322E-05
0500000US39167,3,61683,4.86358E-05
0500000US35027,1,20500,4.87805E-05
0500000US39143,3,60882,4.92756E-05
0500000US46103,5,101348,4.9335E-05
0500000US18015,1,20162,4.95983E-05
0500000US30081,2,40308,4.96179E-05
0500000US19087,1,20119,4.97043E-05
0500000US21027,1,20060,4.98504E-05
0500000US36009,4,80229,4.98573E-05
0500000US21003,1,19980,5.00501E-05
0500000US48439,91,1817658,5.00644E-05
0500000US55067,1,19937,5.0158E-05
0500000US45081,1,19926,5.01857E-05
0500000US55035,5,98928,5.05418E-05
0500000US49053,7,138451,5.05594E-05
0500000US48281,1,19721,5.07074E-05
0500000US55087,9,176912,5.08728E-05
0500000US36031,2,39302,5.0888E-05
0500000US09011,14,274055,5.10846E-05
0500000US40119,4,77448,5.16476E-05
0500000US17179,7,135433,5.16861E-05
0500000US18085,4,77368,5.1701E-05
0500000US05069,4,77358,5.17076E-05
0500000US12097,14,269837,5.18832E-05
0500000US45057,4,76889,5.2023E-05
0500000US42043,14,268220,5.2196E-05
0500000US39169,6,114505,5.23995E-05
0500000US45083,15,284713,5.26846E-05
0500000US51680,4,75686,5.28499E-05
0500000US55131,7,131971,5.3042E-05
0500000US16065,2,37623,5.3159E-05
0500000US16057,2,37334,5.35705E-05
0500000US49013,1,18616,5.37172E-05
0500000US39129,3,55803,5.37606E-05
0500000US51127,1,18556,5.38909E-05
0500000US39157,5,92542,5.40295E-05
0500000US51141,1,18464,5.41594E-05
0500000US39095,24,441468,5.43641E-05
0500000US05063,2,36738,5.44395E-05
0500000US26061,2,36686,5.45167E-05
0500000US36097,1,18330,5.45554E-05
0500000US29155,1,18263,5.47555E-05
0500000US12071,34,620151,5.48254E-05
0500000US48091,6,109382,5.48536E-05
0500000US01033,3,54433,5.51136E-05
0500000US45013,9,162989,5.52185E-05
0500000US49011,17,307856,5.52206E-05
0500000US19043,1,18087,5.52883E-05
0500000US51700,10,180712,5.53367E-05
0500000US39173,7,125502,5.5776E-05
0500000US35053,1,17850,5.60224E-05
0500000US36071,21,373355,5.62467E-05
0500000US17181,1,17775,5.62588E-05
0500000US01081,8,140780,5.68263E-05
0500000US01129,1,17597,5.68279E-05
0500000US54065,1,17495,5.71592E-05
0500000US16019,6,104592,5.73658E-05
0500000US51025,1,17404,5.74581E-05
0500000US39117,2,34793,5.74828E-05
0500000US51570,1,17381,5.75341E-05
0500000US48157,34,590350,5.7593E-05
0500000US29213,3,51893,5.78113E-05
0500000US39103,10,172592,5.79401E-05
0500000US05135,1,17236,5.80181E-05
0500000US23019,9,153849,5.84989E-05
0500000US55109,5,84442,5.92122E-05
0500000US37081,29,489681,5.92222E-05
0500000US06023,8,134794,5.93498E-05
0500000US20111,2,33654,5.94283E-05
0500000US17101,1,16825,5.94354E-05
0500000US17191,1,16734,5.97586E-05
0500000US42077,21,350106,5.99818E-05
0500000US06057,6,98794,6.07324E-05
0500000US36087,19,312183,6.08617E-05
0500000US17149,1,16408,6.09459E-05
0500000US35057,1,16375,6.10687E-05
0500000US51810,27,439172,6.14793E-05
0500000US51730,2,32527,6.14874E-05
0500000US08093,1,16262,6.14931E-05
0500000US13027,1,16199,6.17322E-05
0500000US29209,2,32172,6.21659E-05
0500000US27131,4,64228,6.22781E-05
0500000US06029,53,842207,6.29299E-05
0500000US17177,3,47649,6.29604E-05
0500000US44009,8,127008,6.29882E-05
0500000US56007,1,15853,6.30795E-05
0500000US12045,1,15847,6.31034E-05
0500000US53055,1,15783,6.33593E-05
0500000US31131,1,15773,6.33995E-05
0500000US13089,44,692902,6.3501E-05
0500000US22033,28,440909,6.35052E-05
0500000US53035,16,251809,6.35402E-05
0500000US36067,30,467204,6.42118E-05
0500000US37153,3,46659,6.42963E-05
0500000US16047,1,15503,6.45036E-05
0500000US36093,10,154889,6.45624E-05
0500000US26035,2,30927,6.46684E-05
0500000US21103,1,15389,6.49815E-05
0500000US06017,12,181194,6.62274E-05
0500000US40035,1,15074,6.63394E-05
0500000US55079,63,948944,6.63896E-05
0500000US28035,5,75113,6.65664E-05
0500000US53075,3,44791,6.69777E-05
0500000US22059,1,14928,6.69882E-05
0500000US13275,3,44769,6.70107E-05
0500000US48255,1,14841,6.73809E-05
0500000US37041,1,14759,6.77553E-05
0500000US21125,4,58944,6.7861E-05
0500000US13227,2,29436,6.7944E-05
0500000US28029,2,29430,6.79579E-05
0500000US26081,41,603219,6.79687E-05
0500000US12089,5,73473,6.80522E-05
0500000US36053,5,73439,6.80837E-05
0500000US02020,20,293227,6.82065E-05
0500000US12085,10,146393,6.83093E-05
0500000US39111,1,14590,6.85401E-05
0500000US21117,11,159876,6.88033E-05
0500000US27109,10,144509,6.91998E-05
0500000US13067,48,690063,6.95589E-05
0500000US05045,8,113980,7.01878E-05
0500000US06051,1,14234,7.02543E-05
0500000US18011,4,56891,7.03099E-05
0500000US12031,61,865876,7.04489E-05
0500000US49005,8,113417,7.05362E-05
0500000US13021,11,155715,7.06419E-05
0500000US05079,1,14104,7.09019E-05
0500000US05123,2,28174,7.09874E-05
0500000US37067,25,351335,7.11572E-05
0500000US42027,11,154127,7.13697E-05
0500000US36059,96,1341245,7.15753E-05
0500000US46027,1,13861,7.21449E-05
0500000US05061,1,13820,7.23589E-05
0500000US44005,6,82852,7.24183E-05
0500000US09007,12,165697,7.24213E-05
0500000US25023,36,495780,7.26129E-05
0500000US34001,20,274685,7.28107E-05
0500000US35007,1,13726,7.28544E-05
0500000US36103,109,1494434,7.29373E-05
0500000US41029,15,203462,7.37238E-05
