geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est,land_area_sqmile,pop_density
0500000US47007,47,7,Bledsoe County,98,0,TN,12841,406.425,31.59500523
0500000US01009,1,9,Blount County,659,0,AL,57872,644.776,89.75520181
0500000US47009,47,9,Blount County,2257,0,TN,125099,558.706,223.9084599
0500000US27013,27,13,Blue Earth County,1926,0,MN,65528,747.844,87.6225523
0500000US16015,16,15,Boise County,151,0,ID,6795,1899.237,3.57775254
0500000US28011,28,11,Bolivar County,734,0,MS,34049,876.573,38.84331368
0500000US29017,29,17,Bollinger County,193,0,MO,12490,617.906,20.21343052
0500000US46009,46,9,Bon Homme County,176,0,SD,7046,563.701,12.49953433
0500000US17005,17,5,Bond County,302,0,IL,17470,380.279,45.93995461
0500000US16017,16,17,Bonner County,1397,5,ID,40699,1734.573,23.46341146
0500000US16019,16,19,Bonneville County,3237,6,ID,107517,1866.077,57.61659353
0500000US31011,31,11,Boone County,191,0,NE,5388,686.554,7.847889605
0500000US29019,29,19,Boone County,4435,26,MO,170773,685.414,249.1530666
0500000US05009,5,9,Boone County,862,1,AR,37396,590.231,63.35824448
0500000US19015,19,15,Boone County,553,1,IA,26364,571.569,46.12566462
0500000US54005,54,5,Boone County,289,1,WV,24224,501.543,48.29894944
0500000US18011,18,11,Boone County,1409,4,IN,60477,422.913,143.0010428
0500000US17007,17,7,Boone County,844,0,IL,53957,280.719,192.2100036
0500000US21015,21,15,Boone County,2970,1,KY,124442,246.359,505.1246352
0500000US48033,48,33,Borden County,6,0,TX,637,897.443,0.709794382
0500000US48035,48,35,Bosque County,298,0,TX,17855,982.978,18.16419086
0500000US22015,22,15,Bossier Parish,2414,3,LA,123823,840.057,147.3983313
0500000US51023,51,23,Botetourt County,724,0,VA,33002,541.202,60.9790799
0500000US38009,38,9,Bottineau County,278,0,ND,6736,1668.421,4.037350285
0500000US08013,8,13,Boulder County,11676,651,CO,310048,726.289,426.8934267
0500000US16021,16,21,Boundary County,355,0,ID,10853,1268.56,8.555369868
0500000US20011,20,11,Bourbon County,354,0,KS,14852,635.471,23.37164088
0500000US21017,21,17,Bourbon County,376,0,KY,19998,289.719,69.02550402
0500000US48037,48,37,Bowie County,2188,1,TX,93487,885.006,105.6343121
0500000US38011,38,11,Bowman County,157,0,ND,3214,1161.807,2.766380302
0500000US31013,31,13,Box Butte County,312,0,NE,11305,1075.293,10.51341355
0500000US49003,49,3,Box Elder County,978,2,UT,50794,5745.551,8.840579433
0500000US31015,31,15,Boyd County,67,0,NE,2032,539.94,3.763381116
0500000US21019,21,19,Boyd County,1383,1,KY,48886,159.864,305.7974278
0500000US21021,21,21,Boyle County,732,0,KY,29013,180.169,161.032142
0500000US21023,21,23,Bracken County,96,0,KY,8416,205.612,40.93146314
0500000US42015,42,15,Bradford County,1390,1,PA,62316,1147.399,54.31066264
0500000US12007,12,7,Bradford County,421,0,FL,26850,293.962,91.33833625
0500000US05011,5,11,Bradley County,250,0,AR,11249,649.231,17.32665261
0500000US47011,47,11,Bradley County,1874,1,TN,101848,328.762,309.7924943
0500000US26023,26,23,Branch County,806,1,MI,43649,506.369,86.1999846
0500000US13025,13,25,Brantley County,187,0,GA,18292,442.362,41.35074893
0500000US54007,54,7,Braxton County,257,0,WV,14502,510.812,28.39009264
0500000US48039,48,39,Brazoria County,5110,5,TX,330242,1357.701,243.2361764
0500000US48041,48,41,Brazos County,3987,16,TX,203164,585.445,347.0249127
0500000US21025,21,25,Breathitt County,226,0,KY,13545,492.413,27.50739725
0500000US21027,21,27,Breckinridge County,285,1,KY,20040,567.172,35.33319698
0500000US19017,19,17,Bremer County,604,0,IA,24624,435.477,56.54489215
0500000US12009,12,9,Brevard County,13066,59,FL,550823,1015.664,542.3279746
0500000US48043,48,43,Brewster County,270,0,TX,9286,6183.733,1.501681913
0500000US48045,48,45,Briscoe County,39,0,TX,1537,900.001,1.70777588
0500000US02060,2,60,Bristol Bay Borough,66,0,AK,960,503.843,1.905355438
0500000US51520,51,520,Bristol city,620,0,VA,17341,13.013,1332.590486
0500000US25005,25,5,Bristol County,12708,52,MA,552780,553.096,999.4286706
0500000US44001,44,1,Bristol County,1229,2,RI,49220,24.164,2036.914418
0500000US30007,30,7,Broadwater County,137,4,MT,5692,1192.541,4.773001515
0500000US36005,36,5,Bronx County,17044,5,NY,1418733,42.096,33702.32326
0500000US54009,54,9,Brooke County,403,0,WV,23737,89.205,266.0949498
0500000US46011,46,11,Brookings County,866,1,SD,32968,792.206,41.61543841
0500000US48047,48,47,Brooks County,131,0,TX,7237,943.364,7.671482058
0500000US13027,13,27,Brooks County,199,1,GA,15516,493.046,31.46968031
0500000US36007,36,7,Broome County,4286,6,NY,197534,705.766,279.8859679
0500000US08014,8,14,Broomfield County,1800,73,CO,59471,33.034,1800.296664
0500000US12011,12,11,Broward County,57531,245,FL,1838844,1209.785,1519.975863
0500000US46013,46,13,Brown County,1264,1,SD,37907,1712.981,22.12925888
0500000US31017,31,17,Brown County,129,0,NE,2926,1221.333,2.395743012
0500000US48049,48,49,Brown County,921,0,TX,37749,944.433,39.97001375
0500000US27015,27,15,Brown County,764,0,MN,25332,611.09,41.45379568
0500000US20013,20,13,Brown County,266,0,KS,9997,570.872,17.5118065
0500000US55009,55,9,Brown County,6293,6,WI,254586,529.708,480.6157355
0500000US39015,39,15,Brown County,542,0,OH,44264,490.016,90.33174427
0500000US18013,18,13,Brown County,349,0,IN,15023,311.981,48.15357345
0500000US17009,17,9,Brown County,115,0,IL,6860,305.607,22.44712981
0500000US46015,46,15,Brule County,225,0,SD,5366,817.24,6.566002643
0500000US37019,37,19,Brunswick County,2299,0,NC,115301,846.973,136.133029
0500000US51025,51,25,Brunswick County,260,1,VA,16973,566.173,29.97846948
0500000US40013,40,13,Bryan County,748,0,OK,44244,904.471,48.91699126
0500000US13029,13,29,Bryan County,597,0,GA,33157,435.967,76.05392151
0500000US19019,19,19,Buchanan County,490,0,IA,20976,571.02,36.734265
0500000US51027,51,27,Buchanan County,441,0,VA,23597,502.763,46.93463918
0500000US29021,29,21,Buchanan County,2299,0,MO,89631,408.027,219.6692866
0500000US51029,51,29,Buckingham County,252,0,VA,17136,579.657,29.56231012
0500000US42017,42,17,Bucks County,18907,129,PA,626976,604.307,1037.51239
0500000US51530,51,530,Buena Vista city,112,0,VA,6680,6.704,996.4200477
0500000US19021,19,21,Buena Vista County,554,0,IA,20567,574.915,35.77398398
0500000US31019,31,19,Buffalo County,1555,2,NE,47893,968.112,49.47051581
